,Strain,Type,Rating,Effects
305,Blue-Moon-Rocks,hybrid,4.6,"Relaxed,Happy,Uplifted,Euphoric,Focused"
306,Blue-Moonshine,indica,4.2,"Happy,Relaxed,Euphoric,Sleepy,Focused"
307,Blue-Mountain-Fire,sativa,4.0,"Euphoric,Relaxed,Tingly,Uplifted,Happy"
308,Blue-Mystic,indica,4.2,"Happy,Relaxed,Giggly,Energetic,Sleepy"
309,Blue-Nightmare,hybrid,4.7,"Euphoric,Relaxed,Happy,Giggly,Creative"
310,Blue-Nina,hybrid,4.5,"Happy,Talkative,Giggly,Tingly,Euphoric"
311,Blue-Og,hybrid,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted"
312,Blue-Ox,indica,4.5,"Sleepy,Relaxed,Hungry,Talkative,Uplifted"
313,Blue-Persuasion,hybrid,4.1,"Relaxed,Tingly,Euphoric,Happy,Hungry"
314,Blue-Power,indica,4.7,"Relaxed,Tingly,Happy,Uplifted,Euphoric"
315,Blue-Rhino,hybrid,4.3,"Sleepy,Relaxed,Focused,Uplifted,Hungry"
316,Blue-Satellite,sativa,3.9,"Uplifted,Happy,Euphoric,Talkative,Relaxed"
317,Blue-Sky,hybrid,4.6,"Happy,Relaxed,Uplifted,Euphoric,Creative"
318,Blue-Steel,indica,4.3,"Uplifted,Relaxed,Euphoric,Happy,Creative"
319,Blue-Thai,hybrid,3.7,"Relaxed,Happy,Talkative,Uplifted,Focused"
320,Blue-Train,hybrid,4.4,"Happy,Uplifted,Energetic,Focused,Relaxed"
321,Blue-Trane,hybrid,0.0,None
322,Blue-Treat,hybrid,4.9,"Relaxed,Focused,Happy,Uplifted,Creative"
323,Blue-Velvet,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Focused"
324,Blue-Venom,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry"
325,Blue-Widow,hybrid,4.2,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
326,Blue-Wonder,hybrid,5.0,"Uplifted,Happy,Euphoric,Focused,Relaxed"
327,Blue-Wreck,hybrid,4.7,"Sleepy,Happy,Euphoric,Relaxed,Uplifted"
328,Blue-Zkittlez,indica,4.9,"Aroused,Creative,Happy,Relaxed,Euphoric"
329,Blue-Zombie,indica,4.7,"Relaxed,Euphoric,Hungry,Sleepy,Happy"
330,Blueberry,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
331,Blueberry-Ak,hybrid,4.9,"Energetic,Relaxed,Euphoric,Happy,Sleepy"
332,Blueberry-Blast,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Talkative"
333,Blueberry-Bomb,hybrid,5.0,Relaxed
334,Blueberry-Cheesecake,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Tingly"
335,Blueberry-Diesel,hybrid,4.2,"Uplifted,Happy,Euphoric,Relaxed,Focused"
336,Blueberry-Dream,sativa,4.6,"Uplifted,Sleepy,Happy,Relaxed,Focused"
337,Blueberry-Essence,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
338,Blueberry-Haze,hybrid,4.2,"Happy,Euphoric,Creative,Uplifted,Energetic"
339,Blueberry-Headband,hybrid,4.3,"Relaxed,Happy,Uplifted,Talkative,Euphoric"
340,Blueberry-Jack,hybrid,4.3,"Relaxed,Happy,Creative,Giggly,Hungry"
341,Blueberry-Kush,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
342,Blueberry-Lambsbread,hybrid,4.8,"Relaxed,Happy,Sleepy,Uplifted,Euphoric"
343,Blueberry-Muffins,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Happy,Creative"
344,Blueberry-Og,hybrid,4.6,"Happy,Hungry,Giggly,Euphoric,Talkative"
345,Blueberry-Pancakes,hybrid,4.5,"Relaxed,Sleepy,Hungry,Happy,Euphoric"
346,Blueberry-Pie,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
347,Blueberry-Silvertip,hybrid,4.6,"Happy,Uplifted,Giggly,Relaxed,Euphoric"
348,Blueberry-Skunk,indica,4.3,"Euphoric,Relaxed,Uplifted,Creative,Happy"
349,Blueberry-Space-Cake,indica,5.0,"Euphoric,Relaxed,Tingly,Happy,Giggly"
350,Blueberry-Trainwreck,hybrid,4.4,"Happy,Uplifted,Energetic,Focused,Relaxed"
351,Blueberry-Triple-Og,indica,4.0,None
352,Blueberry-Waltz,indica,4.8,"Talkative,Uplifted,Euphoric,Happy,Giggly"
353,Blueberry-Yum-Yum,hybrid,4.6,"Happy,Uplifted,Euphoric,Relaxed,Giggly"
354,Blues,hybrid,4.0,"Happy,Relaxed,Uplifted,Creative,Sleepy"
355,Blukashima,hybrid,5.0,Creative
356,Bluniverse,hybrid,4.7,"Euphoric,Uplifted,Happy,Tingly,Creative"
357,Blurple,hybrid,4.3,"Happy,Euphoric,Energetic,Hungry,Focused"
358,Blush,hybrid,5.0,"Talkative,Creative,Happy,Hungry,Relaxed"
359,Bob-Saget,sativa,4.8,"Uplifted,Happy,Relaxed,Creative,Talkative"
360,Bodega-Bubblegum,hybrid,0.0,None
361,Bogart,hybrid,4.0,"Happy,Talkative,Uplifted,Euphoric,Giggly"
362,Boggle-Gum,hybrid,4.0,"Happy,Relaxed,Hungry,Sleepy,Giggly"
363,Booger,hybrid,4.7,"Happy,Focused,Uplifted,Creative,Giggly"
364,Boombaye,hybrid,0.0,None
365,Bootlegger,hybrid,0.0,"Sleepy,Giggly,Hungry,Tingly,Happy"
366,Bordello,hybrid,4.5,"Relaxed,Euphoric,Uplifted,Happy,Creative"
367,Boss-Hogg,hybrid,4.5,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
368,Boysenberry,hybrid,3.6,"Giggly,Relaxed,Talkative,Energetic,Euphoric"
369,Brain-Candy,hybrid,5.0,Creative
370,Brains-Damage,indica,4.4,"Euphoric,Focused,Relaxed,Sleepy,Hungry"
371,Brainstorm-Haze,sativa,3.9,"Talkative,Happy,Uplifted,Focused,Energetic"
372,Brainwreck,hybrid,4.7,"Creative,Focused,Uplifted,Happy,Euphoric"
373,Brand-X,indica,5.0,"Sleepy,Relaxed,Hungry,Happy,Euphoric"
374,Brandywine,indica,4.5,"Relaxed,Happy,Uplifted,Tingly,Euphoric"
375,Brazil-Amazonia,sativa,4.5,"Uplifted,Euphoric,Focused,Happy,Relaxed"
376,Brian-Berry-Cough,hybrid,4.5,"Happy,Uplifted,Relaxed,Energetic,Hungry"
377,Bright-Fire,indica,5.0,"Hungry,Relaxed,Uplifted,Creative,Euphoric"
378,Bright-Moments,hybrid,0.0,None
379,Broke-Diesel,hybrid,5.0,"Uplifted,Euphoric,Creative,Energetic,Happy"
380,Bronze-Whaler,indica,0.0,"Hungry,Relaxed"
381,Brooklyn-Mango,hybrid,4.9,"Euphoric,Aroused,Uplifted,Happy,Talkative"
382,Bruce-Banner,hybrid,4.6,"Happy,Euphoric,Relaxed,Uplifted,Creative"
383,Bruce-Banner-3,hybrid,4.6,"Euphoric,Relaxed,Happy,Uplifted,Energetic"
384,Bubba-Berry,indica,5.0,"Sleepy,Happy,Relaxed"
385,Bubba-Doja,indica,4.0,None
386,Bubba-Fresh,hybrid,5.0,"Aroused,Sleepy,Tingly,Uplifted,Creative"
387,Bubba-Hash,indica,0.0,None
388,Bubba-Kush,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
389,Bubba-Og,indica,4.3,"Happy,Relaxed,Sleepy,Euphoric,Uplifted"
390,Bubba-Tom-Hayes,hybrid,4.9,"Euphoric,Happy,Uplifted,Creative,Talkative"
391,Bubba-X-Skunk,hybrid,5.0,"Creative,Euphoric,Relaxed,Happy,Tingly"
392,Bubbas-Bitch,indica,4.0,"Sleepy,Tingly,Uplifted,Hungry,Relaxed"
393,Bubbas-Gift,indica,4.6,"Relaxed,Euphoric,Happy,Uplifted,Focused"
394,Bubble-Cheese,indica,3.8,"Relaxed,Hungry,Sleepy,Tingly,Talkative"
395,Bubble-Gum,hybrid,4.1,"Happy,Relaxed,Euphoric,Uplifted,Hungry"
396,Bubbleberry,hybrid,4.4,"Happy,Relaxed,Focused,Uplifted,Hungry"
397,Bubblegum-Kush,indica,4.3,"Relaxed,Happy,Sleepy,Uplifted,Talkative"
398,Bubblegun,hybrid,3.8,"Happy,Focused,Aroused,Talkative,Uplifted"
399,Bubblicious,hybrid,4.3,"Happy,Relaxed,Talkative,Giggly,Uplifted"
400,Buckeye-Purple,indica,4.3,"Sleepy,Relaxed,Euphoric,Focused,Happy"
401,Buddha-Haze,sativa,4.6,"Giggly,Happy,Uplifted,Euphoric,Talkative"
402,Buddha-Tahoe,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
403,Buddhas-Hand,hybrid,4.7,"Focused,Euphoric,Energetic,Aroused,Uplifted"
404,Buddhas-Sister,indica,4.3,"Relaxed,Sleepy,Uplifted,Happy,Euphoric"
405,Buffalo-Bill,sativa,4.2,"Relaxed,Uplifted,Tingly,Euphoric,Happy"
406,Bugatti-Og,hybrid,4.6,"Relaxed,Happy,Uplifted,Hungry,Sleepy"
407,Burkle,indica,4.9,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
408,Burmese-Kush,hybrid,4.2,"Uplifted,Relaxed,Happy,Euphoric,Creative"
409,Burnt-Cookies,hybrid,0.0,None
410,Butter-Og,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Giggly"
411,Butterscotch,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy"
412,C13-Haze,sativa,4.4,"Euphoric,Creative,Uplifted,Energetic,Giggly"
413,C3,hybrid,5.0,None
414,C3Po,hybrid,4.3,"Relaxed,Hungry,Sleepy,Focused,Uplifted"
415,C4,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted"
416,Cbd-Blue-Shark,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric"
417,Cbd-Critical-Cure,indica,4.6,"Relaxed,Sleepy,Happy,Focused,Euphoric"
418,Cbd-Critical-Mass,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Uplifted"
419,Cbd-Kush,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Euphoric"
420,Cbd-Lilly,sativa,4.5,"Focused,Happy,Sleepy,Energetic,Euphoric"
421,Cbd-Mango-Haze,sativa,4.4,"Focused,Relaxed,Uplifted,Energetic,Euphoric"
422,Cbd-Ox,indica,5.0,"Aroused,Sleepy,Happy,Euphoric,Hungry"
423,Cbd-Rich-Blessing,sativa,0.0,None
424,Cbd-Shark,indica,4.5,"Relaxed,Tingly,Happy,Sleepy,Euphoric"
425,Chr-Super-Og,indica,4.3,"Relaxed,Giggly,Sleepy,Happy,Talkative"
426,Cabbage-Patch,hybrid,4.4,"Relaxed,Happy,Uplifted,Giggly,Energetic"
427,Cackleberry,hybrid,0.0,None
428,Cactus,indica,4.6,"Euphoric,Happy,Uplifted,Relaxed,Hungry"
429,Cactus-Cooler,hybrid,4.5,"Creative,Euphoric,Focused,Happy,Energetic"
430,Cadillac-Purple,indica,4.2,"Relaxed,Sleepy,Tingly,Happy,Hungry"
431,Cali-Gold,hybrid,4.5,"Uplifted,Relaxed,Happy,Sleepy,Euphoric"
432,Cali-Jack,hybrid,4.7,"Creative,Happy,Talkative,Uplifted,Euphoric"
433,Cali-Kush,hybrid,4.2,"Relaxed,Happy,Hungry,Euphoric,Uplifted"
434,California-Grapefruit,indica,4.4,"Euphoric,Relaxed,Tingly,Talkative,Uplifted"
435,California-Hash-Plant,indica,5.0,"Uplifted,Creative,Energetic,Giggly,Happy"
436,California-Orange,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Giggly"
437,California-Sour,hybrid,3.6,"Focused,Relaxed,Euphoric,Energetic,Uplifted"
438,Calyx-Og,hybrid,0.0,None
439,Cambodian,sativa,4.2,"Energetic,Talkative,Happy,Relaxed,Uplifted"
440,Cambodian-Haze,sativa,4.6,"Euphoric,Happy,Aroused,Creative,Relaxed"
441,Candy-Cane,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Happy"
442,Candy-Jack,sativa,4.3,"Happy,Energetic,Euphoric,Creative,Focused"
443,Candyland,sativa,4.6,"Happy,Uplifted,Energetic,Euphoric,Creative"
444,Canna-Tsu,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Creative"
445,Cannasutra,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Aroused"
446,Cannadential,hybrid,4.1,"Euphoric,Happy,Relaxed,Uplifted,Energetic"
447,Cannalope-Haze,sativa,4.2,"Happy,Relaxed,Energetic,Uplifted,Creative"
448,Cannalope-Kush,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Focused"
449,Cannatonic,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric"
450,Capers,indica,4.6,"Sleepy,Happy,Hungry,Relaxed,Uplifted"
451,Capleton,hybrid,4.0,"Sleepy,Tingly,Euphoric,Giggly,Happy"
452,Captain-America-Og,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Creative,Happy"
453,Captains-Cake,hybrid,4.7,"Euphoric,Relaxed,Energetic,Happy,Focused"
454,Caramel-Candy-Kush,hybrid,4.6,"Relaxed,Happy,Focused,Creative,Talkative"
455,Caramel-Kona-Coffee-Cookies,hybrid,0.0,None
456,Caramel-Kona-Coffee-Kush,indica,4.5,"Relaxed,Uplifted,Tingly,Hungry,Happy"
457,Caramelicious,hybrid,4.2,"Focused,Happy,Relaxed,Euphoric,Creative"
458,Caramella,indica,4.8,"Aroused,Euphoric,Relaxed"
459,Caramelo,sativa,4.1,"Energetic,Happy,Uplifted,Relaxed,Talkative"
460,Carl-Sagan,hybrid,4.4,"Happy,Relaxed,Uplifted,Focused,Aroused"
461,Carnival,sativa,4.3,"Talkative,Uplifted,Happy,Energetic,Relaxed"
462,Cascadia-Kush,indica,4.6,"Relaxed,Tingly,Sleepy,Aroused,Uplifted"
463,Casey-Jones,sativa,4.2,"Uplifted,Happy,Energetic,Creative,Hungry"
464,Cashus-Clay,hybrid,4.2,"Uplifted,Euphoric,Happy,Talkative,Energetic"
465,Casper-Og,indica,5.0,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted"
466,Cat-Piss,sativa,3.9,"Happy,Uplifted,Euphoric,Relaxed,Talkative"
467,Cataract-Kush,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Uplifted"
468,Catfish,sativa,4.8,"Uplifted,Creative,Energetic,Euphoric,Happy"
469,Cello-Sweet-Og,hybrid,4.0,"Sleepy,Relaxed,Uplifted,Creative,Euphoric"
470,Central-American,sativa,4.0,"Relaxed,Euphoric,Happy,Hungry"
471,Cerebro-Haze,sativa,4.2,"Uplifted,Happy,Relaxed,Creative,Energetic"
472,Chairman-Chem-Sou,hybrid,4.4,"Energetic,Happy,Uplifted,Creative,Euphoric"
473,Champagne-Kush,hybrid,4.2,"Happy,Uplifted,Relaxed,Euphoric,Talkative"
474,Charlie-Sheen,hybrid,4.6,"Happy,Euphoric,Relaxed,Sleepy,Focused"
475,Charlottes-Web,sativa,4.5,"Relaxed,Uplifted,Focused,Happy,Energetic"
476,Cheese,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
477,Cheese-Candy,hybrid,4.3,"Relaxed,Uplifted,Happy,Sleepy,Creative"
478,Cheese-Quake,hybrid,4.3,"Euphoric,Uplifted,Relaxed,Tingly,Happy"
479,Cheeseburger,hybrid,3.3,"Tingly,Uplifted,Relaxed,Aroused,Creative"
480,Cheesewreck,hybrid,4.3,"Happy,Relaxed,Uplifted,Creative,Euphoric"
481,Chem-Crush,hybrid,4.1,"Talkative,Energetic,Happy,Creative,Uplifted"
482,Chem-Dog,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
483,Chem-Jack,hybrid,5.0,"Talkative,Uplifted,Creative,Happy,Aroused"
484,Chem-Jong-Ill,hybrid,5.0,"Uplifted,Creative,Happy,Talkative,Energetic"
485,Chem-Scout,indica,4.5,"Relaxed,Euphoric,Focused,Happy,Creative"
486,Chem-Valley-Kush,hybrid,4.3,"Relaxed,Euphoric,Happy,Tingly,Sleepy"
487,Chems-Sister,sativa,4.5,"Creative,Euphoric,Happy,Focused,Relaxed"
488,Chemwreck,hybrid,4.6,"Uplifted,Talkative,Happy,Relaxed,Energetic"
489,Chemdawg,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Creative"
490,Chemdawg-4-X-Alien-Og-Kush,hybrid,4.5,"Relaxed,Energetic,Happy,Euphoric,Creative"
491,Chemdawg-4,hybrid,4.4,"Relaxed,Euphoric,Happy,Hungry,Uplifted"
492,Chemdawg-91,hybrid,4.5,"Euphoric,Uplifted,Relaxed,Happy,Tingly"
493,Chemdawg-Sour-Diesel,hybrid,4.5,"Uplifted,Happy,Euphoric,Relaxed,Energetic"
494,Chemmy-Jones,hybrid,4.7,"Happy,Relaxed,Euphoric,Creative,Uplifted"
495,Chemnesia,hybrid,4.8,"Uplifted,Euphoric,Relaxed,Happy,Energetic"
496,Chemo,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
497,Cherwillie,hybrid,5.0,"Creative,Energetic,Happy,Relaxed,Focused"
498,Chernobyl,hybrid,4.4,"Happy,Euphoric,Relaxed,Energetic,Uplifted"
499,Cherries-Jubilee,indica,4.4,"Euphoric,Uplifted,Relaxed,Happy,Creative"
500,Cherry-Ak-47,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Focused"
501,Cherry-Bomb,hybrid,4.3,"Focused,Talkative,Happy,Uplifted,Relaxed"
502,Cherry-Cookies,hybrid,4.6,"Happy,Uplifted,Euphoric,Relaxed,Focused"
503,Cherry-Cream-Pie,hybrid,4.3,"Relaxed,Euphoric,Creative,Energetic,Uplifted"
504,Cherry-Diesel,hybrid,4.7,"Relaxed,Euphoric,Energetic,Happy,Uplifted"
505,Cherry-Durban-Poison,hybrid,4.3,"Uplifted,Giggly,Sleepy,Aroused,Euphoric"
506,Cherry-Fire,hybrid,0.0,None
507,Cherry-Grapefruit,hybrid,4.3,"Creative,Happy,Relaxed,Tingly,Uplifted"
508,Cherry-Kola,indica,4.7,"Relaxed,Euphoric,Happy,Giggly,Tingly"
509,Cherry-Kush,hybrid,4.2,"Relaxed,Uplifted,Euphoric,Happy,Creative"
510,Cherry-Limeade,hybrid,4.3,"Relaxed,Euphoric,Happy,Tingly,Uplifted"
511,Cherry-Og,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Hungry"
512,Cherry-Pie,hybrid,4.4,"Happy,Relaxed,Euphoric,Uplifted,Focused"
513,Cherry-Pie-Kush,hybrid,4.2,"Happy,Relaxed,Euphoric,Giggly,Sleepy"
514,Cherry-Sauce,hybrid,5.0,"Talkative,Tingly,Uplifted,Creative,Energetic"
515,Cherry-Sherbet,hybrid,4.3,"Sleepy,Giggly,Aroused,Talkative,Tingly"
516,Cherry-Skunk,hybrid,4.4,"Relaxed,Happy,Uplifted,Aroused,Hungry"
517,Cherry-Slyder,hybrid,4.7,"Focused,Uplifted,Happy,Relaxed"
518,Cherry-Thunder-Fuck,hybrid,4.8,"Uplifted,Happy,Energetic,Euphoric,Focused"
519,Chicle,hybrid,5.0,"Aroused,Euphoric,Focused,Happy,Hungry"
520,Chiesel,hybrid,4.4,"Happy,Euphoric,Relaxed,Uplifted,Focused"
521,China-Yunnan,indica,4.3,"Uplifted,Happy,Relaxed,Euphoric,Sleepy"
522,Chiquita-Banana,hybrid,4.9,"Happy,Euphoric,Uplifted,Relaxed,Creative"
523,Chloe,hybrid,4.9,"Creative,Euphoric,Uplifted,Talkative,Focused"
524,Chocoholic,hybrid,0.0,None
525,Chocolate-Chunk,indica,4.2,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
526,Chocolate-Diesel,sativa,4.6,"Euphoric,Energetic,Happy,Creative,Uplifted"
527,Chocolate-Drop,hybrid,5.0,"Uplifted,Euphoric,Giggly,Happy,Relaxed"
528,Chocolate-Fondue,sativa,4.6,"Uplifted,Relaxed,Happy,Euphoric,Focused"
529,Chocolate-Hashberry,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
530,Chocolate-Kush,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
531,Chocolate-Meringue,indica,0.0,None
532,Chocolate-Og,indica,4.8,"Relaxed,Uplifted,Euphoric,Aroused,Tingly"
533,Chocolate-Rain,hybrid,5.0,"Creative,Happy,Talkative,Uplifted,Energetic"
534,Chocolate-Sap,hybrid,4.5,"Talkative,Uplifted,Energetic,Happy,Euphoric"
535,Chocolate-Thai,sativa,4.2,"Uplifted,Happy,Energetic,Focused,Creative"
536,Chocolate-Thunder,sativa,4.1,"Uplifted,Creative,Happy,Energetic,Focused"
537,Chocolate-Tonic,hybrid,0.0,None
538,Chocolope,sativa,4.3,"Happy,Uplifted,Energetic,Focused,Euphoric"
539,Chocolope-Kush,hybrid,4.0,"Happy,Creative,Focused,Uplifted,Euphoric"
540,Chong-Star,hybrid,4.5,"Relaxed,Happy,Uplifted,Creative,Euphoric"
541,Chronic,hybrid,4.4,"Relaxed,Happy,Giggly,Euphoric,Energetic"
542,Chronic-Thunder,indica,4.5,"Relaxed,Happy,Euphoric,Sleepy,Tingly"
543,Chuckys-Bride,hybrid,4.6,"Giggly,Happy,Energetic,Euphoric,Talkative"
544,Chunky-Diesel,hybrid,4.6,"Energetic,Relaxed,Euphoric,Uplifted,Happy"
545,Chupacabra,hybrid,4.8,"Focused,Relaxed,Happy,Uplifted,Energetic"
546,Church-Og,indica,4.1,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
547,Cinderella-99,hybrid,4.4,"Euphoric,Uplifted,Happy,Energetic,Relaxed"
548,Cinderellas-Dream,hybrid,4.4,"Euphoric,Uplifted,Energetic,Focused,Creative"
549,Cindy-White,hybrid,4.6,"Happy,Euphoric,Uplifted,Relaxed,Talkative"
550,Cinex,sativa,4.3,"Energetic,Uplifted,Happy,Focused,Euphoric"
551,Cirrus,sativa,5.0,"Uplifted,Happy,Talkative,Euphoric,Creative"
552,Citrix,hybrid,4.3,"Happy,Euphoric,Uplifted,Relaxed,Energetic"
553,Citrus-Kush,hybrid,4.2,"Relaxed,Happy,Euphoric,Tingly,Uplifted"
554,Citrus-Punch,sativa,4.2,"Uplifted,Happy,Relaxed,Euphoric,Giggly"
555,Citrus-Sap,hybrid,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic"
556,Citrus-Sunshine-Haze,hybrid,4.8,"Happy,Uplifted,Focused,Creative,Energetic"
557,Clementine,sativa,4.3,"Happy,Energetic,Focused,Uplifted,Euphoric"
558,Clementine-Kush,hybrid,4.4,"Happy,Euphoric,Relaxed,Giggly,Tingly"
559,Clementines-Terpentine,hybrid,5.0,"Aroused,Uplifted,Creative,Focused,Happy"
560,Clockwork-Orange,hybrid,5.0,"Relaxed,Happy,Uplifted,Hungry,Aroused"
561,Cloud-9,hybrid,4.3,"Euphoric,Energetic,Happy,Giggly,Relaxed"
562,Club-69,indica,5.0,"Sleepy,Relaxed"
563,Cluster-Bomb,hybrid,4.3,"Euphoric,Focused,Relaxed,Sleepy,Uplifted"
564,Coconut-Oil,hybrid,3.0,"Aroused,Happy,Relaxed,Uplifted,Creative"
565,Cold-Creek-Kush,hybrid,4.3,"Relaxed,Happy,Hungry,Euphoric,Uplifted"
566,Colombian-Gold,sativa,4.5,"Happy,Euphoric,Energetic,Uplifted,Talkative"
567,Colombian-Mojito,sativa,5.0,"Aroused,Talkative,Tingly,Uplifted,Creative"
568,Colorado-Bubba,indica,4.6,"Relaxed,Happy,Sleepy,Uplifted,Creative"
569,Colorado-Chem,hybrid,4.4,"Relaxed,Uplifted,Euphoric,Happy,Tingly"
570,Colorado-Clementines,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
571,Commerce-City-Kush,indica,4.3,"Relaxed,Sleepy,Euphoric,Happy,Talkative"
572,Concord-Grape-Blockhead,hybrid,4.3,"Creative,Euphoric,Giggly,Happy,Relaxed"
573,Confidential-Cheese,indica,4.5,"Sleepy,Uplifted,Relaxed,Tingly,Happy"
574,Confidential-Wreck,hybrid,4.2,"Hungry,Relaxed,Tingly,Uplifted,Creative"
575,Congo,sativa,5.0,"Uplifted,Energetic,Euphoric,Happy,Talkative"
576,Connie-Chung,hybrid,4.2,"Uplifted,Relaxed,Happy,Sleepy,Creative"
577,Conspiracy-Kush,indica,4.6,"Relaxed,Happy,Sleepy,Uplifted,Giggly"
578,Cookie-Breath,hybrid,5.0,"Happy,Relaxed,Uplifted,Giggly,Euphoric"
579,Cookie-Dough,hybrid,4.5,"Relaxed,Happy,Euphoric,Giggly,Hungry"
580,Cookie-Jar,hybrid,4.6,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted"
581,Cookie-Monster,indica,4.5,"Relaxed,Happy,Hungry,Sleepy,Euphoric"
582,Cookie-Wreck,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Focused"
583,Cookies-Kush,indica,4.5,"Relaxed,Happy,Euphoric,Hungry,Sleepy"
584,Cookies-And-Cream,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
585,Cookies-And-Dream,hybrid,4.5,"Uplifted,Relaxed,Happy,Euphoric,Giggly"
586,Copper-Kush,indica,3.9,"Relaxed,Euphoric,Happy,Uplifted,Tingly"
587,Corleone-Kush,indica,4.6,"Relaxed,Euphoric,Happy,Hungry,Sleepy"
588,Cornbread,indica,4.6,"Relaxed,Euphoric,Hungry,Happy,Sleepy"
589,Cosmic-Collision,sativa,4.2,"Uplifted,Energetic,Talkative,Euphoric,Relaxed"
590,Cotton-Candy-Kush,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Energetic"
591,Cotton-Purple-Chem,hybrid,4.4,"Relaxed,Uplifted,Euphoric,Happy,Tingly"
592,Cowboy-Kush,hybrid,4.8,"Happy,Uplifted,Euphoric,Relaxed,Creative"
593,Cracker-Jack,sativa,4.2,"Energetic,Creative,Focused,Happy,Euphoric"
594,Crater-Lake,hybrid,4.6,"Happy,Uplifted,Talkative,Relaxed,Creative"
595,Crazy-Miss-Hyde,hybrid,4.9,"Uplifted,Happy,Euphoric,Relaxed,Creative"
596,Cream-Caramel,indica,4.2,"Relaxed,Happy,Sleepy,Tingly,Focused"
597,Crimea-Blue,hybrid,4.3,"Happy,Uplifted,Euphoric,Sleepy,Creative"
598,Critical-47,hybrid,4.3,"Relaxed,Sleepy,Happy,Giggly,Talkative"
599,Critical-Bilbo,hybrid,4.4,"Relaxed,Happy,Hungry,Sleepy,Euphoric"
600,Critical-Cheese,hybrid,4.2,"Euphoric,Focused,Happy,Relaxed,Energetic"
601,Critical-Haze,hybrid,4.3,"Relaxed,Happy,Uplifted,Hungry,Giggly"
602,Critical-Hog,indica,4.2,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
603,Critical-Jack,hybrid,4.4,"Energetic,Creative,Happy,Focused,Uplifted"
604,Critical-Kali-Mist,sativa,4.6,"Creative,Focused,Uplifted,Happy,Euphoric"
605,Critical-Kush,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
606,Critical-Mass,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
607,Critical-Plus,hybrid,4.2,"Relaxed,Happy,Hungry,Sleepy,Creative"
608,Critical-Plus-20,indica,4.2,"Happy,Relaxed,Uplifted,Euphoric,Aroused"
609,Critical-Sensi-Star,indica,4.2,"Relaxed,Sleepy,Happy,Uplifted,Euphoric"
610,Critical-Skunk,hybrid,4.5,"Happy,Relaxed,Creative,Hungry,Aroused"
